cell (0,1);cell (2,1);cell (3,1);cell (4,1);cell (5,1);cell (6,1);cell (7,1);cell (8,1);cell (9,1);cell (10,1);cell (11,1);cell (12,1);cell (13,1);cell (14,1);cell (15,1);cell (16,1);cell (17,1);cell (18,1);cell (19,1);cell (20,1);cell (21,1);cell (22,1);cell (23,1);cell (24,1);cell (25,1);cell (26,1);cell (27,1);cell (28,1);cell (29,1);cell (30,1);cell (31,1);cell (32,1);cell (33,1);cell (34,1);cell (35,1);cell (36,1);cell (37,1);cell (38,1);cell (39,1);cell (40,1);cell (41,1);cell (42,1);cell (43,1);cell (44,1);cell (45,1);cell (46,1);cell (47,1);cell (48,1);cell (49,1);cell (50,1);cell (51,1);cell (52,1);cell (53,1);cell (54,1);cell (55,1);cell (56,1);cell (57,1);cell (58,1);cell (59,1);cell (60,1);cell (61,1);cell (62,1);cell (63,1);cell (64,1);cell (65,1);cell (66,1);cell (67,1);cell (68,1);cell (69,1);cell (70,1);cell (71,1);cell (72,1);cell (73,1);cell (74,1);cell (75,1);cell (76,1);cell (77,1);cell (78,1);cell (79,1);cell (80,1);cell (81,1);cell (82,1);cell (83,1);cell (84,1);cell (85,1);cell (86,1);cell (87,1);cell (88,1);cell (89,1);cell (90,1);cell (91,1);cell (92,1);cell (93,1);cell (94,1);cell (95,1);cell (96,1);cell (97,1);cell (98,1);cell (99,1);cell (100,1)
cell (0,30);cell (2,30);cell (3,30);cell (4,30);cell (5,30);cell (6,30);cell (7,30);cell (8,30);cell (9,30);cell (10,30);cell (11,30);cell (12,30);cell (13,30);cell (14,30);cell (15,30);cell (16,30);cell (17,30);cell (18,30);cell (19,30);cell (20,30);cell (21,30);cell (22,30);cell (23,30);cell (24,30);cell (25,30);cell (26,30);cell (27,30);cell (28,30);cell (29,30);cell (30,30);cell (31,30);cell (32,30);cell (33,30);cell (34,30);cell (35,30);cell (36,30);cell (37,30);cell (38,30);cell (39,30);cell (40,30);cell (41,30);cell (42,30);cell (43,30);cell (44,30);cell (45,30);cell (46,30);cell (47,30);cell (48,30);cell (49,30);cell (50,30);cell (51,30);cell (52,30);cell (53,30);cell (54,30);cell (55,30);cell (56,30);cell (57,30);cell (58,30);cell (59,30);cell (60,30);cell (61,30);cell (62,30);cell (63,30);cell (64,30);cell (65,30);cell (66,30);cell (67,30);cell (68,30);cell (69,30);cell (70,30);cell (71,30);cell (72,30);cell (73,30);cell (74,30);cell (75,30);cell (76,30);cell (77,30);cell (78,30);cell (79,30);cell (80,30);cell (81,30);cell (82,30);cell (83,30);cell (84,30);cell (85,30);cell (86,30);cell (87,30);cell (88,30);cell (89,30);cell (90,30);cell (91,30);cell (92,30);cell (93,30);cell (94,30);cell (95,30);cell (96,30);cell (97,30);cell (98,30);cell (99,30);cell (100,30)
cell (0,31);cell (2,31);cell (3,31);cell (4,31);cell (5,31);cell (6,31);cell (7,31);cell (8,31);cell (9,31);cell (10,31);cell (11,31);cell (12,31);cell (13,31);cell (14,31);cell (15,31);cell (16,31);cell (17,31);cell (18,31);cell (19,31);cell (20,31);cell (21,31);cell (22,31);cell (23,31);cell (24,31);cell (25,31);cell (26,31);cell (27,31);cell (28,31);cell (29,31);cell (30,31);cell (31,31);cell (32,31);cell (33,31);cell (34,31);cell (35,31);cell (36,31);cell (37,31);cell (38,31);cell (39,31);cell (40,31);cell (41,31);cell (42,31);cell (43,31);cell (44,31);cell (45,31);cell (46,31);cell (47,31);cell (48,31);cell (49,31);cell (50,31);cell (51,31);cell (52,31);cell (53,31);cell (54,31);cell (55,31);cell (56,31);cell (57,31);cell (58,31);cell (59,31);cell (60,31);cell (61,31);cell (62,31);cell (63,31);cell (64,31);cell (65,31);cell (66,31);cell (67,31);cell (68,31);cell (69,31);cell (70,31);cell (71,31);cell (72,31);cell (73,31);cell (74,31);cell (75,31);cell (76,31);cell (77,31);cell (78,31);cell (79,31);cell (80,31);cell (81,31);cell (82,31);cell (83,31);cell (84,31);cell (85,31);cell (86,31);cell (87,31);cell (88,31);cell (89,31);cell (90,31);cell (91,31);cell (92,31);cell (93,31);cell (94,31);cell (95,31);cell (96,31);cell (97,31);cell (98,31);cell (99,31);cell (100,31)
cell (0,32);cell (2,32);cell (3,32);cell (4,32);cell (5,32);cell (6,32);cell (7,32);cell (8,32);cell (9,32);cell (10,32);cell (11,32);cell (12,32);cell (13,32);cell (14,32);cell (15,32);cell (16,32);cell (17,32);cell (18,32);cell (19,32);cell (20,32);cell (21,32);cell (22,32);cell (23,32);cell (24,32);cell (25,32);cell (26,32);cell (27,32);cell (28,32);cell (29,32);cell (30,32);cell (31,32);cell (32,32);cell (33,32);cell (34,32);cell (35,32);cell (36,32);cell (37,32);cell (38,32);cell (39,32);cell (40,32);cell (41,32);cell (42,32);cell (43,32);cell (44,32);cell (45,32);cell (46,32);cell (47,32);cell (48,32);cell (49,32);cell (50,32);cell (51,32);cell (52,32);cell (53,32);cell (54,32);cell (55,32);cell (56,32);cell (57,32);cell (58,32);cell (59,32);cell (60,32);cell (61,32);cell (62,32);cell (63,32);cell (64,32);cell (65,32);cell (66,32);cell (67,32);cell (68,32);cell (69,32);cell (70,32);cell (71,32);cell (72,32);cell (73,32);cell (74,32);cell (75,32);cell (76,32);cell (77,32);cell (78,32);cell (79,32);cell (80,32);cell (81,32);cell (82,32);cell (83,32);cell (84,32);cell (85,32);cell (86,32);cell (87,32);cell (88,32);cell (89,32);cell (90,32);cell (91,32);cell (92,32);cell (93,32);cell (94,32);cell (95,32);cell (96,32);cell (97,32);cell (98,32);cell (99,32);cell (100,32)
cell (0,33);cell (2,33);cell (3,33);cell (4,33);cell (5,33);cell (6,33);cell (7,33);cell (8,33);cell (9,33);cell (10,33);cell (11,33);cell (12,33);cell (13,33);cell (14,33);cell (15,33);cell (16,33);cell (17,33);cell (18,33);cell (19,33);cell (20,33);cell (21,33);cell (22,33);cell (23,33);cell (24,33);cell (25,33);cell (26,33);cell (27,33);cell (28,33);cell (29,33);cell (30,33);cell (31,33);cell (32,33);cell (33,33);cell (34,33);cell (35,33);cell (36,33);cell (37,33);cell (38,33);cell (39,33);cell (40,33);cell (41,33);cell (42,33);cell (43,33);cell (44,33);cell (45,33);cell (46,33);cell (47,33);cell (48,33);cell (49,33);cell (50,33);cell (51,33);cell (52,33);cell (53,33);cell (54,33);cell (55,33);cell (56,33);cell (57,33);cell (58,33);cell (59,33);cell (60,33);cell (61,33);cell (62,33);cell (63,33);cell (64,33);cell (65,33);cell (66,33);cell (67,33);cell (68,33);cell (69,33);cell (70,33);cell (71,33);cell (72,33);cell (73,33);cell (74,33);cell (75,33);cell (76,33);cell (77,33);cell (78,33);cell (79,33);cell (80,33);cell (81,33);cell (82,33);cell (83,33);cell (84,33);cell (85,33);cell (86,33);cell (87,33);cell (88,33);cell (89,33);cell (90,33);cell (91,33);cell (92,33);cell (93,33);cell (94,33);cell (95,33);cell (96,33);cell (97,33);cell (98,33);cell (99,33);cell (100,33)
cell (0,34);cell (2,34);cell (3,34);cell (4,34);cell (5,34);cell (6,34);cell (7,34);cell (8,34);cell (9,34);cell (10,34);cell (11,34);cell (12,34);cell (13,34);cell (14,34);cell (15,34);cell (16,34);cell (17,34);cell (18,34);cell (19,34);cell (20,34);cell (21,34);cell (22,34);cell (23,34);cell (24,34);cell (25,34);cell (26,34);cell (27,34);cell (28,34);cell (29,34);cell (30,34);cell (31,34);cell (32,34);cell (33,34);cell (34,34);cell (35,34);cell (36,34);cell (37,34);cell (38,34);cell (39,34);cell (40,34);cell (41,34);cell (42,34);cell (43,34);cell (44,34);cell (45,34);cell (46,34);cell (47,34);cell (48,34);cell (49,34);cell (50,34);cell (51,34);cell (52,34);cell (53,34);cell (54,34);cell (55,34);cell (56,34);cell (57,34);cell (58,34);cell (59,34);cell (60,34);cell (61,34);cell (62,34);cell (63,34);cell (64,34);cell (65,34);cell (66,34);cell (67,34);cell (68,34);cell (69,34);cell (70,34);cell (71,34);cell (72,34);cell (73,34);cell (74,34);cell (75,34);cell (76,34);cell (77,34);cell (78,34);cell (79,34);cell (80,34);cell (81,34);cell (82,34);cell (83,34);cell (84,34);cell (85,34);cell (86,34);cell (87,34);cell (88,34);cell (89,34);cell (90,34);cell (91,34);cell (92,34);cell (93,34);cell (94,34);cell (95,34);cell (96,34);cell (97,34);cell (98,34);cell (99,34);cell (100,34)
cell (0,35);cell (2,35);cell (3,35);cell (4,35);cell (5,35);cell (6,35);cell (7,35);cell (8,35);cell (9,35);cell (10,35);cell (11,35);cell (12,35);cell (13,35);cell (14,35);cell (15,35);cell (16,35);cell (17,35);cell (18,35);cell (19,35);cell (20,35);cell (21,35);cell (22,35);cell (23,35);cell (24,35);cell (25,35);cell (26,35);cell (27,35);cell (28,35);cell (29,35);cell (30,35);cell (31,35);cell (32,35);cell (33,35);cell (34,35);cell (35,35);cell (36,35);cell (37,35);cell (38,35);cell (39,35);cell (40,35);cell (41,35);cell (42,35);cell (43,35);cell (44,35);cell (45,35);cell (46,35);cell (47,35);cell (48,35);cell (49,35);cell (50,35);cell (51,35);cell (52,35);cell (53,35);cell (54,35);cell (55,35);cell (56,35);cell (57,35);cell (58,35);cell (59,35);cell (60,35);cell (61,35);cell (62,35);cell (63,35);cell (64,35);cell (65,35);cell (66,35);cell (67,35);cell (68,35);cell (69,35);cell (70,35);cell (71,35);cell (72,35);cell (73,35);cell (74,35);cell (75,35);cell (76,35);cell (77,35);cell (78,35);cell (79,35);cell (80,35);cell (81,35);cell (82,35);cell (83,35);cell (84,35);cell (85,35);cell (86,35);cell (87,35);cell (88,35);cell (89,35);cell (90,35);cell (91,35);cell (92,35);cell (93,35);cell (94,35);cell (95,35);cell (96,35);cell (97,35);cell (98,35);cell (99,35);cell (100,35)
cell (0,36);cell (2,36);cell (3,36);cell (4,36);cell (5,36);cell (6,36);cell (7,36);cell (8,36);cell (9,36);cell (10,36);cell (11,36);cell (12,36);cell (13,36);cell (14,36);cell (15,36);cell (16,36);cell (17,36);cell (18,36);cell (19,36);cell (20,36);cell (21,36);cell (22,36);cell (23,36);cell (24,36);cell (25,36);cell (26,36);cell (27,36);cell (28,36);cell (29,36);cell (30,36);cell (31,36);cell (32,36);cell (33,36);cell (34,36);cell (35,36);cell (36,36);cell (37,36);cell (38,36);cell (39,36);cell (40,36);cell (41,36);cell (42,36);cell (43,36);cell (44,36);cell (45,36);cell (46,36);cell (47,36);cell (48,36);cell (49,36);cell (50,36);cell (51,36);cell (52,36);cell (53,36);cell (54,36);cell (55,36);cell (56,36);cell (57,36);cell (58,36);cell (59,36);cell (60,36);cell (61,36);cell (62,36);cell (63,36);cell (64,36);cell (65,36);cell (66,36);cell (67,36);cell (68,36);cell (69,36);cell (70,36);cell (71,36);cell (72,36);cell (73,36);cell (74,36);cell (75,36);cell (76,36);cell (77,36);cell (78,36);cell (79,36);cell (80,36);cell (81,36);cell (82,36);cell (83,36);cell (84,36);cell (85,36);cell (86,36);cell (87,36);cell (88,36);cell (89,36);cell (90,36);cell (91,36);cell (92,36);cell (93,36);cell (94,36);cell (95,36);cell (96,36);cell (97,36);cell (98,36);cell (99,36);cell (100,36)
cell (0,37);cell (2,37);cell (3,37);cell (4,37);cell (5,37);cell (6,37);cell (7,37);cell (8,37);cell (9,37);cell (10,37);cell (11,37);cell (12,37);cell (13,37);cell (14,37);cell (15,37);cell (16,37);cell (17,37);cell (18,37);cell (19,37);cell (20,37);cell (21,37);cell (22,37);cell (23,37);cell (24,37);cell (25,37);cell (26,37);cell (27,37);cell (28,37);cell (29,37);cell (30,37);cell (31,37);cell (32,37);cell (33,37);cell (34,37);cell (35,37);cell (36,37);cell (37,37);cell (38,37);cell (39,37);cell (40,37);cell (41,37);cell (42,37);cell (43,37);cell (44,37);cell (45,37);cell (46,37);cell (47,37);cell (48,37);cell (49,37);cell (50,37);cell (51,37);cell (52,37);cell (53,37);cell (54,37);cell (55,37);cell (56,37);cell (57,37);cell (58,37);cell (59,37);cell (60,37);cell (61,37);cell (62,37);cell (63,37);cell (64,37);cell (65,37);cell (66,37);cell (67,37);cell (68,37);cell (69,37);cell (70,37);cell (71,37);cell (72,37);cell (73,37);cell (74,37);cell (75,37);cell (76,37);cell (77,37);cell (78,37);cell (79,37);cell (80,37);cell (81,37);cell (82,37);cell (83,37);cell (84,37);cell (85,37);cell (86,37);cell (87,37);cell (88,37);cell (89,37);cell (90,37);cell (91,37);cell (92,37);cell (93,37);cell (94,37);cell (95,37);cell (96,37);cell (97,37);cell (98,37);cell (99,37);cell (100,37)
cell (0,38);cell (2,38);cell (3,38);cell (4,38);cell (5,38);cell (6,38);cell (7,38);cell (8,38);cell (9,38);cell (10,38);cell (11,38);cell (12,38);cell (13,38);cell (14,38);cell (15,38);cell (16,38);cell (17,38);cell (18,38);cell (19,38);cell (20,38);cell (21,38);cell (22,38);cell (23,38);cell (24,38);cell (25,38);cell (26,38);cell (27,38);cell (28,38);cell (29,38);cell (30,38);cell (31,38);cell (32,38);cell (33,38);cell (34,38);cell (35,38);cell (36,38);cell (37,38);cell (38,38);cell (39,38);cell (40,38);cell (41,38);cell (42,38);cell (43,38);cell (44,38);cell (45,38);cell (46,38);cell (47,38);cell (48,38);cell (49,38);cell (50,38);cell (51,38);cell (52,38);cell (53,38);cell (54,38);cell (55,38);cell (56,38);cell (57,38);cell (58,38);cell (59,38);cell (60,38);cell (61,38);cell (62,38);cell (63,38);cell (64,38);cell (65,38);cell (66,38);cell (67,38);cell (68,38);cell (69,38);cell (70,38);cell (71,38);cell (72,38);cell (73,38);cell (74,38);cell (75,38);cell (76,38);cell (77,38);cell (78,38);cell (79,38);cell (80,38);cell (81,38);cell (82,38);cell (83,38);cell (84,38);cell (85,38);cell (86,38);cell (87,38);cell (88,38);cell (89,38);cell (90,38);cell (91,38);cell (92,38);cell (93,38);cell (94,38);cell (95,38);cell (96,38);cell (97,38);cell (98,38);cell (99,38);cell (100,38)
cell (0,39);cell (2,39);cell (3,39);cell (4,39);cell (5,39);cell (6,39);cell (7,39);cell (8,39);cell (9,39);cell (10,39);cell (11,39);cell (12,39);cell (13,39);cell (14,39);cell (15,39);cell (16,39);cell (17,39);cell (18,39);cell (19,39);cell (20,39);cell (21,39);cell (22,39);cell (23,39);cell (24,39);cell (25,39);cell (26,39);cell (27,39);cell (28,39);cell (29,39);cell (30,39);cell (31,39);cell (32,39);cell (33,39);cell (34,39);cell (35,39);cell (36,39);cell (37,39);cell (38,39);cell (39,39);cell (40,39);cell (41,39);cell (42,39);cell (43,39);cell (44,39);cell (45,39);cell (46,39);cell (47,39);cell (48,39);cell (49,39);cell (50,39);cell (51,39);cell (52,39);cell (53,39);cell (54,39);cell (55,39);cell (56,39);cell (57,39);cell (58,39);cell (59,39);cell (60,39);cell (61,39);cell (62,39);cell (63,39);cell (64,39);cell (65,39);cell (66,39);cell (67,39);cell (68,39);cell (69,39);cell (70,39);cell (71,39);cell (72,39);cell (73,39);cell (74,39);cell (75,39);cell (76,39);cell (77,39);cell (78,39);cell (79,39);cell (80,39);cell (81,39);cell (82,39);cell (83,39);cell (84,39);cell (85,39);cell (86,39);cell (87,39);cell (88,39);cell (89,39);cell (90,39);cell (91,39);cell (92,39);cell (93,39);cell (94,39);cell (95,39);cell (96,39);cell (97,39);cell (98,39);cell (99,39);cell (100,39)
cell (0,40);cell (2,40);cell (3,40);cell (4,40);cell (5,40);cell (6,40);cell (7,40);cell (8,40);cell (9,40);cell (10,40);cell (11,40);cell (12,40);cell (13,40);cell (14,40);cell (15,40);cell (16,40);cell (17,40);cell (18,40);cell (19,40);cell (20,40);cell (21,40);cell (22,40);cell (23,40);cell (24,40);cell (25,40);cell (26,40);cell (27,40);cell (28,40);cell (29,40);cell (30,40);cell (31,40);cell (32,40);cell (33,40);cell (34,40);cell (35,40);cell (36,40);cell (37,40);cell (38,40);cell (39,40);cell (40,40);cell (41,40);cell (42,40);cell (43,40);cell (44,40);cell (45,40);cell (46,40);cell (47,40);cell (48,40);cell (49,40);cell (50,40);cell (51,40);cell (52,40);cell (53,40);cell (54,40);cell (55,40);cell (56,40);cell (57,40);cell (58,40);cell (59,40);cell (60,40);cell (61,40);cell (62,40);cell (63,40);cell (64,40);cell (65,40);cell (66,40);cell (67,40);cell (68,40);cell (69,40);cell (70,40);cell (71,40);cell (72,40);cell (73,40);cell (74,40);cell (75,40);cell (76,40);cell (77,40);cell (78,40);cell (79,40);cell (80,40);cell (81,40);cell (82,40);cell (83,40);cell (84,40);cell (85,40);cell (86,40);cell (87,40);cell (88,40);cell (89,40);cell (90,40);cell (91,40);cell (92,40);cell (93,40);cell (94,40);cell (95,40);cell (96,40);cell (97,40);cell (98,40);cell (99,40);cell (100,40)
cell (0,41);cell (2,41);cell (3,41);cell (4,41);cell (5,41);cell (6,41);cell (7,41);cell (8,41);cell (9,41);cell (10,41);cell (11,41);cell (12,41);cell (13,41);cell (14,41);cell (15,41);cell (16,41);cell (17,41);cell (18,41);cell (19,41);cell (20,41);cell (21,41);cell (22,41);cell (23,41);cell (24,41);cell (25,41);cell (26,41);cell (27,41);cell (28,41);cell (29,41);cell (30,41);cell (31,41);cell (32,41);cell (33,41);cell (34,41);cell (35,41);cell (36,41);cell (37,41);cell (38,41);cell (39,41);cell (40,41);cell (41,41);cell (42,41);cell (43,41);cell (44,41);cell (45,41);cell (46,41);cell (47,41);cell (48,41);cell (49,41);cell (50,41);cell (51,41);cell (52,41);cell (53,41);cell (54,41);cell (55,41);cell (56,41);cell (57,41);cell (58,41);cell (59,41);cell (60,41);cell (61,41);cell (62,41);cell (63,41);cell (64,41);cell (65,41);cell (66,41);cell (67,41);cell (68,41);cell (69,41);cell (70,41);cell (71,41);cell (72,41);cell (73,41);cell (74,41);cell (75,41);cell (76,41);cell (77,41);cell (78,41);cell (79,41);cell (80,41);cell (81,41);cell (82,41);cell (83,41);cell (84,41);cell (85,41);cell (86,41);cell (87,41);cell (88,41);cell (89,41);cell (90,41);cell (91,41);cell (92,41);cell (93,41);cell (94,41);cell (95,41);cell (96,41);cell (97,41);cell (98,41);cell (99,41);cell (100,41)
cell (0,42);cell (2,42);cell (3,42);cell (4,42);cell (5,42);cell (6,42);cell (7,42);cell (8,42);cell (9,42);cell (10,42);cell (11,42);cell (12,42);cell (13,42);cell (14,42);cell (15,42);cell (16,42);cell (17,42);cell (18,42);cell (19,42);cell (20,42);cell (21,42);cell (22,42);cell (23,42);cell (24,42);cell (25,42);cell (26,42);cell (27,42);cell (28,42);cell (29,42);cell (30,42);cell (31,42);cell (32,42);cell (33,42);cell (34,42);cell (35,42);cell (36,42);cell (37,42);cell (38,42);cell (39,42);cell (40,42);cell (41,42);cell (42,42);cell (43,42);cell (44,42);cell (45,42);cell (46,42);cell (47,42);cell (48,42);cell (49,42);cell (50,42);cell (51,42);cell (52,42);cell (53,42);cell (54,42);cell (55,42);cell (56,42);cell (57,42);cell (58,42);cell (59,42);cell (60,42);cell (61,42);cell (62,42);cell (63,42);cell (64,42);cell (65,42);cell (66,42);cell (67,42);cell (68,42);cell (69,42);cell (70,42);cell (71,42);cell (72,42);cell (73,42);cell (74,42);cell (75,42);cell (76,42);cell (77,42);cell (78,42);cell (79,42);cell (80,42);cell (81,42);cell (82,42);cell (83,42);cell (84,42);cell (85,42);cell (86,42);cell (87,42);cell (88,42);cell (89,42);cell (90,42);cell (91,42);cell (92,42);cell (93,42);cell (94,42);cell (95,42);cell (96,42);cell (97,42);cell (98,42);cell (99,42);cell (100,42)
cell (0,43);cell (2,43);cell (3,43);cell (4,43);cell (5,43);cell (6,43);cell (7,43);cell (8,43);cell (9,43);cell (10,43);cell (11,43);cell (12,43);cell (13,43);cell (14,43);cell (15,43);cell (16,43);cell (17,43);cell (18,43);cell (19,43);cell (20,43);cell (21,43);cell (22,43);cell (23,43);cell (24,43);cell (25,43);cell (26,43);cell (27,43);cell (28,43);cell (29,43);cell (30,43);cell (31,43);cell (32,43);cell (33,43);cell (34,43);cell (35,43);cell (36,43);cell (37,43);cell (38,43);cell (39,43);cell (40,43);cell (41,43);cell (42,43);cell (43,43);cell (44,43);cell (45,43);cell (46,43);cell (47,43);cell (48,43);cell (49,43);cell (50,43);cell (51,43);cell (52,43);cell (53,43);cell (54,43);cell (55,43);cell (56,43);cell (57,43);cell (58,43);cell (59,43);cell (60,43);cell (61,43);cell (62,43);cell (63,43);cell (64,43);cell (65,43);cell (66,43);cell (67,43);cell (68,43);cell (69,43);cell (70,43);cell (71,43);cell (72,43);cell (73,43);cell (74,43);cell (75,43);cell (76,43);cell (77,43);cell (78,43);cell (79,43);cell (80,43);cell (81,43);cell (82,43);cell (83,43);cell (84,43);cell (85,43);cell (86,43);cell (87,43);cell (88,43);cell (89,43);cell (90,43);cell (91,43);cell (92,43);cell (93,43);cell (94,43);cell (95,43);cell (96,43);cell (97,43);cell (98,43);cell (99,43);cell (100,43)
cell (0,44);cell (2,44);cell (3,44);cell (4,44);cell (5,44);cell (6,44);cell (7,44);cell (8,44);cell (9,44);cell (10,44);cell (11,44);cell (12,44);cell (13,44);cell (14,44);cell (15,44);cell (16,44);cell (17,44);cell (18,44);cell (19,44);cell (20,44);cell (21,44);cell (22,44);cell (23,44);cell (24,44);cell (25,44);cell (26,44);cell (27,44);cell (28,44);cell (29,44);cell (30,44);cell (31,44);cell (32,44);cell (33,44);cell (34,44);cell (35,44);cell (36,44);cell (37,44);cell (38,44);cell (39,44);cell (40,44);cell (41,44);cell (42,44);cell (43,44);cell (44,44);cell (45,44);cell (46,44);cell (47,44);cell (48,44);cell (49,44);cell (50,44);cell (51,44);cell (52,44);cell (53,44);cell (54,44);cell (55,44);cell (56,44);cell (57,44);cell (58,44);cell (59,44);cell (60,44);cell (61,44);cell (62,44);cell (63,44);cell (64,44);cell (65,44);cell (66,44);cell (67,44);cell (68,44);cell (69,44);cell (70,44);cell (71,44);cell (72,44);cell (73,44);cell (74,44);cell (75,44);cell (76,44);cell (77,44);cell (78,44);cell (79,44);cell (80,44);cell (81,44);cell (82,44);cell (83,44);cell (84,44);cell (85,44);cell (86,44);cell (87,44);cell (88,44);cell (89,44);cell (90,44);cell (91,44);cell (92,44);cell (93,44);cell (94,44);cell (95,44);cell (96,44);cell (97,44);cell (98,44);cell (99,44);cell (100,44)
cell (0,45);cell (2,45);cell (3,45);cell (4,45);cell (5,45);cell (6,45);cell (7,45);cell (8,45);cell (9,45);cell (10,45);cell (11,45);cell (12,45);cell (13,45);cell (14,45);cell (15,45);cell (16,45);cell (17,45);cell (18,45);cell (19,45);cell (20,45);cell (21,45);cell (22,45);cell (23,45);cell (24,45);cell (25,45);cell (26,45);cell (27,45);cell (28,45);cell (29,45);cell (30,45);cell (31,45);cell (32,45);cell (33,45);cell (34,45);cell (35,45);cell (36,45);cell (37,45);cell (38,45);cell (39,45);cell (40,45);cell (41,45);cell (42,45);cell (43,45);cell (44,45);cell (45,45);cell (46,45);cell (47,45);cell (48,45);cell (49,45);cell (50,45);cell (51,45);cell (52,45);cell (53,45);cell (54,45);cell (55,45);cell (56,45);cell (57,45);cell (58,45);cell (59,45);cell (60,45);cell (61,45);cell (62,45);cell (63,45);cell (64,45);cell (65,45);cell (66,45);cell (67,45);cell (68,45);cell (69,45);cell (70,45);cell (71,45);cell (72,45);cell (73,45);cell (74,45);cell (75,45);cell (76,45);cell (77,45);cell (78,45);cell (79,45);cell (80,45);cell (81,45);cell (82,45);cell (83,45);cell (84,45);cell (85,45);cell (86,45);cell (87,45);cell (88,45);cell (89,45);cell (90,45);cell (91,45);cell (92,45);cell (93,45);cell (94,45);cell (95,45);cell (96,45);cell (97,45);cell (98,45);cell (99,45);cell (100,45)
cell (0,46);cell (2,46);cell (3,46);cell (4,46);cell (5,46);cell (6,46);cell (7,46);cell (8,46);cell (9,46);cell (10,46);cell (11,46);cell (12,46);cell (13,46);cell (14,46);cell (15,46);cell (16,46);cell (17,46);cell (18,46);cell (19,46);cell (20,46);cell (21,46);cell (22,46);cell (23,46);cell (24,46);cell (25,46);cell (26,46);cell (27,46);cell (28,46);cell (29,46);cell (30,46);cell (31,46);cell (32,46);cell (33,46);cell (34,46);cell (35,46);cell (36,46);cell (37,46);cell (38,46);cell (39,46);cell (40,46);cell (41,46);cell (42,46);cell (43,46);cell (44,46);cell (45,46);cell (46,46);cell (47,46);cell (48,46);cell (49,46);cell (50,46);cell (51,46);cell (52,46);cell (53,46);cell (54,46);cell (55,46);cell (56,46);cell (57,46);cell (58,46);cell (59,46);cell (60,46);cell (61,46);cell (62,46);cell (63,46);cell (64,46);cell (65,46);cell (66,46);cell (67,46);cell (68,46);cell (69,46);cell (70,46);cell (71,46);cell (72,46);cell (73,46);cell (74,46);cell (75,46);cell (76,46);cell (77,46);cell (78,46);cell (79,46);cell (80,46);cell (81,46);cell (82,46);cell (83,46);cell (84,46);cell (85,46);cell (86,46);cell (87,46);cell (88,46);cell (89,46);cell (90,46);cell (91,46);cell (92,46);cell (93,46);cell (94,46);cell (95,46);cell (96,46);cell (97,46);cell (98,46);cell (99,46);cell (100,46)
cell (0,47);cell (2,47);cell (3,47);cell (4,47);cell (5,47);cell (6,47);cell (7,47);cell (8,47);cell (9,47);cell (10,47);cell (11,47);cell (12,47);cell (13,47);cell (14,47);cell (15,47);cell (16,47);cell (17,47);cell (18,47);cell (19,47);cell (20,47);cell (21,47);cell (22,47);cell (23,47);cell (24,47);cell (25,47);cell (26,47);cell (27,47);cell (28,47);cell (29,47);cell (30,47);cell (31,47);cell (32,47);cell (33,47);cell (34,47);cell (35,47);cell (36,47);cell (37,47);cell (38,47);cell (39,47);cell (40,47);cell (41,47);cell (42,47);cell (43,47);cell (44,47);cell (45,47);cell (46,47);cell (47,47);cell (48,47);cell (49,47);cell (50,47);cell (51,47);cell (52,47);cell (53,47);cell (54,47);cell (55,47);cell (56,47);cell (57,47);cell (58,47);cell (59,47);cell (60,47);cell (61,47);cell (62,47);cell (63,47);cell (64,47);cell (65,47);cell (66,47);cell (67,47);cell (68,47);cell (69,47);cell (70,47);cell (71,47);cell (72,47);cell (73,47);cell (74,47);cell (75,47);cell (76,47);cell (77,47);cell (78,47);cell (79,47);cell (80,47);cell (81,47);cell (82,47);cell (83,47);cell (84,47);cell (85,47);cell (86,47);cell (87,47);cell (88,47);cell (89,47);cell (90,47);cell (91,47);cell (92,47);cell (93,47);cell (94,47);cell (95,47);cell (96,47);cell (97,47);cell (98,47);cell (99,47);cell (100,47)
